"","Datetime","Tweet.URL","Tweet.Id","Tweet.User.Id","Text","Username","User.Location","replyCount","retweetCount","likeCount","quoteCount","language","retweetedTweet","quotedTweet","mentionedUsers","clean_text"
"3796","2020-03-21 00:21:15+00:00","https://twitter.com/ItsKenFung/status/1241157892935278592",1241157892935278592,1204173345052336128,"Guess I’ll be in my room for the next 14 days. Time to prep for Zoom U, I guess. Hope I can be back on campus this fall, but who can tell right. #Covid_19","ItsKenFung","USA",0,0,0,0,"en",NA,"","","guess ill room next days time prep zoom u guess hope can back campus fall can tell right"
"3797","2020-03-21 00:18:31+00:00","https://twitter.com/danielcfng/status/1241157204788400128",1241157204788400128,20998868,"In #Singapore, one of the first  hit by #coronavirus, detectives are tracking down potential positive cases to try to stay one step ahead of the virus. How did they do this and is it too late for the rest of the world? https://t.co/KjwFGHdTDP @sporeMOH @kemkominfo @KKMPutrajaya","danielcfng","Singapore",0,0,1,0,"en",NA,"","[User(username='sporeMOH', displayname='Ministry of Health', id=78772642, description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='kemkominfo', displayname='Kementerian Kominfo', id=177848697, description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='KKMPutrajaya', displayname='KKMalaysia🇲🇾', id=531041640, description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]","one first hit detectives tracking potential positive cases try stay one step ahead virus late rest world"
"3798","2020-03-20 23:46:56+00:00","https://twitter.com/GavinPhoon/status/1241149256938840065",1241149256938840064,1010260493494247424,"@njergonomics @johnanewquist @safetyphoto @OSHAReporter If the #Covid-19 doesn’t kill him. The height will.","GavinPhoon","Singapore",0,1,4,0,"en",NA,"","[User(username='njergonomics', displayname='Quin Bond', id=829386428761198596, description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='johnanewquist', displayname='John Newquist CSP, CHST, OHST, CIT', id=23864422, description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='safetyphoto', displayname='safetyphoto', id=15689936, description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None), User(username='OSHAReporter', displayname='Bruce Rolfsen', id=827605131109793792, description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None)]","doesnt kill height"
"3799","2020-03-20 23:05:06+00:00","https://twitter.com/ravindran0707/status/1241138726413074432",1241138726413074432,408362936,"Temperature screening #Covid_19 https://t.co/95QEWSIcLS","ravindran0707","Johor n singapore",0,0,3,0,"en",NA,"","","temperature screening"
"3800","2020-03-20 22:36:40+00:00","https://twitter.com/mahiznan/status/1241131569852514305",1241131569852514304,2249929266,"Any deep crisis is an opportunity to make life extradinory in someway. #Covid_19","mahiznan","Singapore",0,0,0,0,"en",NA,"","","deep crisis opportunity make life extradinory someway"
"3801","2020-03-20 22:15:19+00:00","https://twitter.com/TomTyroneBeiron/status/1241126198702301184",1241126198702301184,32332382,"Singapore launches TraceTogether mobile app to boost COVID-19 contact tracing efforts https://t.co/S63XhReNdU","TomTyroneBeiron","Singapore",0,0,0,0,"en",NA,"","","singapore launches tracetogether mobile app boost covid contact tracing efforts"
"3802","2020-03-20 22:13:00+00:00","https://twitter.com/fvtura_official/status/1241125617355182080",1241125617355182080,917650683922309120,"Discover Next Billion Jobs!
Watch yesterday's event about #nextbillionjobs and the #future of #work! Subscribe to ""Fvtura Community"" on #YouTube🔴

#remote #remotework #WorkFromHome #workingfromhome #Covid_19 #coronavirus #entrepreneur #here4more #freelancers #jobopportunity https://t.co/EVoQhaYqHp","fvtura_official","Singapore",0,3,5,0,"en",NA,"","","discover next billion jobs watch yesterday s event subscribe fvtura community"
"3803","2020-03-20 22:09:22+00:00","https://twitter.com/fvtura_official/status/1241124701323374593",1241124701323374592,917650683922309120,"What do some of the most forward-thinking #entrepreneurs and CEOs predict for the #Future of #work? 
Watch yesterday's #event on the #futureofwork! #Subscribe to ""Fvtura Community"" on #YouTube! 
#workingfromhome #remotework #WorkFromHome #Covid_19 #coronavirus #jobs #workplace https://t.co/cNlPEWgjtw","fvtura_official","Singapore",0,2,5,0,"en",NA,"","","forward thinking ceos predict watch yesterday s fvtura community"
"3804","2020-03-20 17:58:21+00:00","https://twitter.com/bellaella7/status/1241061529539117056",1241061529539117056,37230170,"Coronavirus: Cirque du Soleil lays off 95 per cent of its staff

""As we speak today, there is no revenue coming in for the company and I don't know when it will come back,"" CEO Daniel Lamarre says. https://t.co/dyAd0Vu8SD","bellaella7","Singapore and the World",0,0,0,0,"en",NA,"","","coronavirus cirque du soleil lays per cent staff speak today revenue coming company don t know come back ceo daniel lamarre says"
"3805","2020-03-20 16:34:41+00:00","https://twitter.com/itsmeamarboy/status/1241040476431462401",1241040476431462400,2952375548,"We malaysians who caged singapore and miss our loved ones, We beg you to stay! 
#malaysia #Covid_19 #singapore #CoronaCrisis #StayAtHome #webegyou https://t.co/Rms0pzr8Ax","itsmeamarboy","Johore, Malaysia",0,0,1,0,"en",NA,"","","malaysians caged singapore miss loved ones beg stay"
